pulse_id,pdw_id,assigned_track_id,candidate_track_id,frequency_score,pri_score,pw_score,confidence_score,total_score,decision_threshold,accepted,rejection_reason
23,1023,,1,0.0,0.0,0.0,0.9923,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
23,1023,2,2,1.0,1.0,0.833,0.9923,1.2242,0.6,True,
23,1023,,3,1.0,0.0,0.6916,0.9923,0.0,0.6,False,Timing residual (109.9 us) > tol (26.4 us)
23,1023,,4,0.0,0.0,0.0,0.9923,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
24,1024,1,1,1.0,1.0,0.9893,0.9797,1.2464,0.6,True,
24,1024,,2,0.0,0.0,0.0,0.9797,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
24,1024,,3,0.0,0.0,0.0,0.9797,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
24,1024,,4,0.0,0.0,0.0,0.9797,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
25,1025,,1,0.0,0.0,0.0,0.8533,0.0,0.6,False,Delta-ToA (10.0 us) < min_pri (10.0 us)
25,1025,,2,0.0,0.0,0.0,0.8533,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
25,1025,,3,0.0,0.0,0.0,0.8533,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
25,1025,4,4,1.0,1.0,0.9904,0.8533,1.2339,0.6,True,
26,1026,,1,0.0,0.0,0.0,0.8552,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
26,1026,,2,0.0,0.0,0.0,0.8552,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
26,1026,,3,0.0,0.0,0.0,0.8552,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
26,1026,4,4,1.0,1.0,0.9916,0.8552,1.2343,0.6,True,
27,1027,1,1,1.0,1.0,0.9904,0.98,1.2466,0.6,True,
27,1027,,2,0.0,0.0,0.0,0.98,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
27,1027,,3,0.0,0.0,0.0,0.98,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
27,1027,,4,0.0,0.0,0.0,0.98,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
28,1028,,1,0.0,0.0,0.0,0.9926,0.0,0.6,False,Delta-ToA (10.0 us) < min_pri (10.0 us)
28,1028,,2,1.0,0.0,0.8723,0.9926,0.0,0.6,False,Timing residual (110.0 us) > tol (26.4 us)
28,1028,3,3,1.0,1.0,0.6916,0.9926,1.203,0.6,True,
28,1028,,4,0.0,0.0,0.0,0.9926,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
29,1029,,1,0.0,0.0,0.0,0.8542,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
29,1029,,2,0.0,0.0,0.0,0.8542,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
29,1029,,3,0.0,0.0,0.0,0.8542,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
29,1029,4,4,1.0,0.9999,0.9703,0.8542,1.2309,0.6,True,
30,1030,1,1,1.0,1.0,0.995,0.9794,1.2472,0.6,True,
30,1030,,2,0.0,0.0,0.0,0.9794,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
30,1030,,3,0.0,0.0,0.0,0.9794,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
30,1030,,4,0.0,0.0,0.0,0.9794,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
31,1031,,1,0.0,0.0,0.0,0.8536,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
31,1031,,2,0.0,0.0,0.0,0.8536,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
31,1031,,3,0.0,0.0,0.0,0.8536,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
31,1031,4,4,1.0,0.9999,0.951,0.8536,1.228,0.6,True,
32,1032,,1,0.0,0.0,0.0,0.9921,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
32,1032,2,2,1.0,1.0,0.8723,0.9921,1.2301,0.6,True,
32,1032,,3,1.0,0.0,0.7604,0.9921,0.0,0.6,False,Timing residual (110.1 us) > tol (26.4 us)
32,1032,,4,0.0,0.0,0.0,0.9921,0.0,0.6,False,Delta-ToA (9.9 us) < min_pri (10.0 us)
33,1033,1,1,1.0,1.0,0.9817,0.9787,1.2451,0.6,True,
33,1033,,2,0.0,0.0,0.0,0.9787,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
33,1033,,3,0.0,0.0,0.0,0.9787,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
33,1033,,4,0.0,0.0,0.0,0.9787,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
